1562974955632,null,1,garageRelay,1
1562974955632,null,1,relay2,1
1562974895618,null,1,garageRelay,1
1562974955632,null,60.25,humidity_local,60.25
1562974955632,null,20.0,temp_remote0,20.0
1562974955632,null,47,humidity_remote0,47
1562974965629,null,60.25,humidity_local,60.25
1562974965629,null,315,presistor_remote0,315
1562974965629,null,0,ledIndicator,0
1562974965629,null,1,garageRelay,1
1562974965629,null,47,humidity_remote0,47
1562974965629,null,21.50,temp_local,21.50
1562974965629,null,20.0,temp_remote0,20.0
1562974965629,null,1,relay2,1
1562974975631,null,21.50,temp_local,21.50
1562974975631,null,311,presistor_remote0,311
1562974975631,null,0,ledIndicator,0
1562974975631,null,1,garageRelay,1
1562974975631,null,1,relay2,1
1562974975631,null,60.25,humidity_local,60.25
1562974975631,null,20.0,temp_remote0,20.0
1562974975631,null,47,humidity_remote0,47
1562974985633,null,21.50,temp_local,21.50
1562974985633,null,306,presistor_remote0,306
1562974985633,null,0,ledIndicator,0
1562974985633,null,1,garageRelay,1
1562974985633,null,1,relay2,1
1562974985633,null,60.25,humidity_local,60.25
1562974985633,null,20.0,temp_remote0,20.0
1562974985633,null,47,humidity_remote0,47
1562974995635,null,21.50,temp_local,21.50
1562974995635,null,307,presistor_remote0,307
1562974995635,null,20.0,temp_remote0,20.0
1562974995635,null,1,garageRelay,1
1562974995635,null,1,relay2,1
1562974995635,null,60.25,humidity_local,60.25
1562974995635,null,0,ledIndicator,0
1562974995635,null,47,humidity_remote0,47
1562975005636,null,21.50,temp_local,21.50
1562975005636,null,331,presistor_remote0,331
1562975005636,null,20.0,temp_remote0,20.0
1562975005636,null,1,garageRelay,1
1562974875615,null,60.25,humidity_local,60.25
1562975005636,null,1,relay2,1
1562975005636,null,60.25,humidity_local,60.25
1562975005636,null,0,ledIndicator,0
1562975005636,null,47,humidity_remote0,47
1562975015636,null,21.50,temp_local,21.50
1562975015636,null,317,presistor_remote0,317
1562975015636,null,0,ledIndicator,0
1562975015636,null,1,garageRelay,1
1562975015636,null,1,relay2,1
1562975015636,null,60.25,humidity_local,60.25
1562975015636,null,20.0,temp_remote0,20.0
1562975015636,null,47,humidity_remote0,47
1562975025637,null,21.50,temp_local,21.50
1562975025637,null,305,presistor_remote0,305
1562975025637,null,20.0,temp_remote0,20.0
1562975025637,null,1,garageRelay,1
1562975025637,null,1,relay2,1
1562975025637,null,60.25,humidity_local,60.25
1562975025637,null,0,ledIndicator,0
1562975025637,null,47,humidity_remote0,47
1562975035638,null,21.50,temp_local,21.50
1562975035638,null,307,presistor_remote0,307
1562975035638,null,20.0,temp_remote0,20.0
1562975035638,null,1,garageRelay,1
1562975035638,null,1,relay2,1
1562975035638,null,60.25,humidity_local,60.25
1562975035638,null,0,ledIndicator,0
1562975035638,null,47,humidity_remote0,47
1562975045643,null,21.50,temp_local,21.50
1562975045643,null,324,presistor_remote0,324
1562975045643,null,20.0,temp_remote0,20.0
1562975045643,null,1,garageRelay,1
1562975045643,null,1,relay2,1
1562975045643,null,60.25,humidity_local,60.25
1562975045643,null,0,ledIndicator,0
1562975045643,null,47,humidity_remote0,47
1562975055639,null,21.50,temp_local,21.50
1562975055639,null,332,presistor_remote0,332
1562975055639,null,0,ledIndicator,0
1562975055639,null,47,humidity_remote0,47
1562975055639,null,1,relay2,1
1562975055639,null,60.25,humidity_local,60.25
1562975055639,null,20.0,temp_remote0,20.0
1562975055639,null,1,garageRelay,1
1562975065639,null,21.50,temp_local,21.50
1562975065639,null,313,presistor_remote0,313
1562975065639,null,0,ledIndicator,0
1562975065639,null,47,humidity_remote0,47
1562975065639,null,1,relay2,1
1562975065639,null,60.25,humidity_local,60.25
1562975065639,null,20.0,temp_remote0,20.0
1562975065639,null,1,garageRelay,1
1562975075639,null,21.50,temp_local,21.50
1562975075639,null,306,presistor_remote0,306
1562975075639,null,0,ledIndicator,0
1562975075639,null,47,humidity_remote0,47
1562975075639,null,1,relay2,1
1562975075639,null,60.25,humidity_local,60.25
1562975075639,null,20.0,temp_remote0,20.0
1562975075639,null,1,garageRelay,1
1562975085639,null,21.50,temp_local,21.50
1562975085639,null,318,presistor_remote0,318
1562975085639,null,0,ledIndicator,0
1562975085639,null,1,garageRelay,1
1562975085639,null,1,relay2,1
1562975085639,null,60.25,humidity_local,60.25
1562975085639,null,20.0,temp_remote0,20.0
1562975085639,null,47,humidity_remote0,47
1562975095639,null,21.50,temp_local,21.50
1562975095639,null,326,presistor_remote0,326
